2020-09-29 10:35:48.646 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-09-29 10:35:48.696 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-09-29 10:35:48.976 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: pageTeacherConditionUsingPOST_1
2020-09-29 10:35:49.026 [main] INFO  com.atguigu.demo.eduservice.EduApplication - Started EduApplication in 6.774 seconds (JVM running for 8.576)
2020-09-29 10:35:53.046 [http-nio-8001-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-29 10:35:53.046 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-09-29 10:35:53.056 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2020-09-29 10:38:03.466 [main] INFO  com.atguigu.demo.eduservice.EduApplication - Starting EduApplication on DESKTOP-Q9L52H1 with PID 20996 (C:\Users\sins0\Desktop\guli_parent\service\service_edu\target\classes started by sins0 in C:\Users\sins0\Desktop\guli_parent)
2020-09-29 10:38:03.476 [main] INFO  com.atguigu.demo.eduservice.EduApplication - The following profiles are active: dev
2020-09-29 10:38:05.046 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-29 10:38:05.056 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-29 10:38:05.156 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 68ms. Found 0 Redis repository interfaces.
2020-09-29 10:38:05.966 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2020-09-29 10:38:05.986 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2020-09-29 10:38:05.986 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-29 10:38:05.986 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-29 10:38:06.206 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-09-29 10:38:06.206 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2625 ms
2020-09-29 10:38:06.546 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-09-29 10:38:07.516 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
